Name,StudyHours,Attendance,Result,ResultNumeric
Sumit Patel 2289,3.3,93.2,Fail,0
Raj Agarwal 2290,0.6,70.8,Fail,0
Nakul Agarwal 2291,5.4,45.3,Fail,0
Parth Shah 2292,3.7,62.5,Fail,0
Rohan Patel 2293,6.8,63.4,Fail,0
Parth Chauhan 2294,1.0,51.8,Fail,0
Manav Patel 2295,7.4,45.7,Fail,0
Palav Patel 2296,3.7,89.0,Fail,0
Kunal Singh 2297,8.8,97.0,Pass,1
Yash Shah 2298,4.5,64.7,Fail,0
Rahul Desai 2299,7.3,32.2,Fail,0
Rahul Gupta 2300,0.5,58.8,Fail,0
Rohan Agarwal 2301,1.4,36.4,Fail,0
Sumit Malik 2302,0.7,76.9,Fail,0
Sumit Kapoor 2303,2.2,95.9,Fail,0
Chirag Rana 2304,6.8,68.3,Fail,0
Utsav Chauhan 2305,6.1,33.6,Fail,0
Arjun Malik 2306,0.2,42.1,Fail,0
Hash Chauhan 2307,0.3,52.8,Fail,0
Chirag Joshi 2308,5.1,75.2,Pass,1
Vivek Patel 2309,7.9,80.6,Pass,1
Dharaj Sharma 2310,8.6,91.0,Pass,1
Varun Verma 2311,7.6,30.1,Fail,0
Amit Desai 2312,8.0,63.5,Fail,0
Bhavesh Joshi 2313,4.0,88.6,Fail,0
Hash Chauhan 2314,9.1,84.4,Pass,1
Sumit Sharma 2315,2.5,69.7,Fail,0
Dev Joshi 2316,9.0,43.2,Fail,0
Om Patel 2317,3.2,39.1,Fail,0
Tushar Kapoor 2318,1.8,51.6,Fail,0
Miraj Singh 2319,1.6,81.0,Fail,0
Ravi Singh 2320,0.5,33.9,Fail,0
Hash Malik 2321,1.4,35.0,Fail,0
Varun Agarwal 2322,5.6,87.4,Pass,1
Kunal Singh 2323,5.5,37.2,Fail,0
Palav Patel 2324,2.3,63.6,Fail,0
Jay Patel 2325,7.1,77.1,Pass,1
Bhavesh Chauhan 2326,7.9,35.3,Fail,0
Amit Desai 2327,1.9,62.6,Fail,0
Manav Yadav 2328,0.1,95.1,Fail,0
Smit Kapoor 2329,4.1,42.2,Fail,0
Hash Mehta 2330,2.2,62.3,Fail,0
Manav Sharma 2331,7.7,46.2,Fail,0
Hash Rana 2332,7.7,74.8,Pass,1
Ravi Verma 2333,7.7,56.9,Fail,0
Bhavesh Chauhan 2334,9.3,86.1,Pass,1
Kunal Verma 2335,9.7,83.0,Pass,1
Rahul Mehta 2336,6.6,84.0,Pass,1
Manav Agarwal 2337,4.2,82.6,Fail,0
Hash Mehta 2338,9.4,55.5,Fail,0
Kunal Patel 2339,4.6,35.2,Fail,0
Amit Verma 2340,4.0,69.7,Fail,0
Manav Rana 2341,4.0,62.9,Fail,0
Sumit Rana 2342,3.9,94.6,Fail,0
Sumit Patel 2343,6.3,58.8,Fail,0
Vivek Kapoor 2344,9.9,82.3,Pass,1
Palav Gupta 2345,8.5,93.9,Pass,1
Om Mehta 2346,0.1,77.5,Fail,0
Neel Agarwal 2347,8.6,65.5,Fail,0
Miraj Agarwal 2348,4.3,55.4,Fail,0
Vivek Rana 2349,8.5,63.8,Fail,0
Yash Rana 2350,4.7,80.7,Fail,0
Varun Singh 2351,6.5,60.7,Fail,0
Smit Joshi 2352,3.3,71.8,Fail,0
Utsav Yadav 2353,2.8,44.6,Fail,0
Palav Joshi 2354,5.4,95.0,Pass,1
Sumit Gupta 2355,5.1,37.6,Fail,0
Rahul Joshi 2356,6.0,59.7,Fail,0
Ansh Gupta 2357,1.5,38.7,Fail,0
Sahil Sharma 2358,0.6,77.3,Fail,0
Nakul Shah 2359,9.1,35.6,Fail,0
Miraj Gupta 2360,2.9,83.3,Fail,0
Harsh Chauhan 2361,3.7,69.3,Fail,0
Amit Yadav 2362,9.8,97.5,Pass,1
Miraj Agarwal 2363,8.3,51.5,Fail,0
Miraj Chauhan 2364,3.2,98.0,Fail,0
Rahul Rana 2365,6.0,66.6,Fail,0
Miraj Sharma 2366,5.6,42.5,Fail,0
Om Malik 2367,2.5,57.4,Fail,0
Ravi Kapoor 2368,8.0,64.5,Fail,0
Rohan Kapoor 2369,2.7,42.8,Fail,0
Palav Joshi 2370,4.8,55.5,Fail,0
Miraj Gupta 2371,4.3,48.8,Fail,0
Manav Gupta 2372,8.3,91.0,Pass,1
Arjun Verma 2373,2.5,48.5,Fail,0
Miraj Agarwal 2374,6.6,35.9,Fail,0
Dev Chauhan 2375,1.4,85.1,Fail,0
Sahil Shah 2376,6.4,82.9,Pass,1
Yash Yadav 2377,3.6,70.9,Fail,0
Utsav Mehta 2378,0.0,36.5,Fail,0
Dev Singh 2379,3.7,40.5,Fail,0
Varun Mehta 2380,9.7,62.7,Fail,0
Utsav Gupta 2381,9.9,30.2,Fail,0
Dev Kapoor 2382,0.4,56.6,Fail,0
Ravi Gupta 2383,8.2,66.2,Fail,0
Vivek Patel 2384,8.9,68.1,Fail,0
Om Desai 2385,4.9,55.0,Fail,0
Vivek Mehta 2386,9.5,63.4,Fail,0
Manav Verma 2387,0.2,97.7,Fail,0
Utsav Kapoor 2388,0.8,57.0,Fail,0
Miraj Joshi 2389,7.2,59.2,Fail,0
Hash Gupta 2390,9.1,98.0,Pass,1
Sahil Malik 2391,3.1,90.5,Fail,0
Rahul Joshi 2392,1.4,83.3,Fail,0
Rohan Joshi 2393,9.8,42.2,Fail,0
Sahil Malik 2394,9.5,87.0,Pass,1
Raj Chauhan 2395,6.0,85.2,Pass,1
Ansh Malik 2396,10.0,50.9,Fail,0
Harsh Verma 2397,2.0,79.8,Fail,0
Parth Joshi 2398,1.4,31.3,Fail,0
Chirag Rana 2399,1.6,60.0,Fail,0
Kunal Malik 2400,2.1,37.1,Fail,0
Miraj Kapoor 2401,8.7,98.5,Pass,1
Rohan Mehta 2402,7.8,51.7,Fail,0
Dev Patel 2403,5.7,62.9,Fail,0
Dharaj Sharma 2404,9.7,97.9,Pass,1
Chirag Singh 2405,7.2,39.2,Fail,0
Rohan Kapoor 2406,2.6,92.8,Fail,0
Tushar Patel 2407,7.8,82.0,Pass,1
Tushar Patel 2408,7.7,62.4,Fail,0
Chirag Shah 2409,4.9,50.6,Fail,0
Om Shah 2410,9.6,44.1,Fail,0
Kunal Shah 2411,4.9,39.7,Fail,0
Arjun Mehta 2412,5.6,44.8,Fail,0
Amit Singh 2413,5.9,61.5,Fail,0
Utsav Singh 2414,9.0,30.3,Fail,0
Rahul Verma 2415,7.7,66.5,Fail,0
Ravi Malik 2416,1.4,72.9,Fail,0
Nakul Sharma 2417,3.5,40.4,Fail,0
Harsh Mehta 2418,3.5,69.6,Fail,0
Jay Mehta 2419,5.0,90.4,Pass,1
Bhavesh Mehta 2420,1.1,34.9,Fail,0
Palav Verma 2421,8.1,87.8,Pass,1
Neel Sharma 2422,8.0,60.6,Fail,0
Hash Patel 2423,2.2,78.0,Fail,0
Tushar Shah 2424,7.9,68.0,Fail,0
Varun Sharma 2425,7.5,99.6,Pass,1
Jay Singh 2426,8.1,96.3,Pass,1
Tushar Sharma 2427,2.2,39.2,Fail,0
Varun Malik 2428,9.7,31.5,Fail,0
Ravi Malik 2429,0.7,92.1,Fail,0
Bhavesh Sharma 2430,0.5,32.9,Fail,0
Parth Joshi 2431,4.9,50.8,Fail,0
Dharaj Chauhan 2432,5.3,34.5,Fail,0
Dev Verma 2433,6.7,55.4,Fail,0
Dev Kapoor 2434,5.5,75.1,Pass,1
Palav Kapoor 2435,7.0,89.5,Pass,1
Raj Mehta 2436,9.9,57.9,Fail,0
Rahul Desai 2437,8.8,71.4,Pass,1
Raj Verma 2438,0.2,57.8,Fail,0
Bhavesh Verma 2439,2.4,81.9,Fail,0
Ravi Gupta 2440,2.0,30.4,Fail,0
Tushar Kapoor 2441,5.2,34.6,Fail,0
Manav Yadav 2442,5.5,41.3,Fail,0
Arjun Rana 2443,2.4,71.3,Fail,0
Dharaj Rana 2444,6.3,99.2,Pass,1
Sahil Patel 2445,6.7,74.1,Pass,1
Tushar Verma 2446,5.9,68.9,Fail,0
Hash Mehta 2447,3.1,46.7,Fail,0
Kunal Rana 2448,7.2,68.8,Fail,0
Ansh Shah 2449,4.4,70.8,Fail,0
Miraj Rana 2450,1.8,68.4,Fail,0
Yash Desai 2451,4.8,34.7,Fail,0
Ravi Rana 2452,2.7,47.9,Fail,0
Parth Joshi 2453,2.4,91.4,Fail,0
Rohan Singh 2454,0.1,86.5,Fail,0
Kunal Malik 2455,9.6,33.8,Fail,0
Dharaj Rana 2456,4.7,54.4,Fail,0
Ansh Shah 2457,2.1,91.6,Fail,0
Dev Chauhan 2458,7.2,34.4,Fail,0
Utsav Malik 2459,0.2,92.4,Fail,0
Vivek Sharma 2460,4.3,51.7,Fail,0
Nakul Patel 2461,3.2,69.3,Fail,0
Chirag Mehta 2462,1.8,99.4,Fail,0
Sahil Malik 2463,7.4,46.3,Fail,0
Jay Verma 2464,8.8,99.5,Pass,1
Smit Agarwal 2465,3.4,61.4,Fail,0
Nakul Rana 2466,3.6,64.8,Fail,0
Bhavesh Shah 2467,7.7,74.5,Pass,1
Utsav Shah 2468,1.6,43.9,Fail,0
Parth Sharma 2469,6.8,34.1,Fail,0
Sumit Shah 2470,9.6,41.1,Fail,0
Sahil Mehta 2471,1.0,52.6,Fail,0
Utsav Patel 2472,1.9,45.0,Fail,0
Arjun Agarwal 2473,7.7,35.9,Fail,0
Jay Gupta 2474,3.6,50.8,Fail,0
Arjun Yadav 2475,5.6,36.3,Fail,0
Sahil Mehta 2476,2.4,64.5,Fail,0
Dev Gupta 2477,4.1,64.2,Fail,0
Harsh Mehta 2478,4.4,91.0,Fail,0
Manav Shah 2479,5.9,77.2,Pass,1
Jay Kapoor 2480,7.6,52.3,Fail,0
Neel Rana 2481,7.4,41.1,Fail,0
Arjun Mehta 2482,1.0,37.9,Fail,0
Ansh Gupta 2483,0.1,36.8,Fail,0
Rahul Malik 2484,5.1,95.3,Pass,1
Sahil Verma 2485,4.9,67.8,Fail,0
Tushar Sharma 2486,0.7,98.8,Fail,0
Utsav Mehta 2487,8.1,36.6,Fail,0
Smit Yadav 2488,7.8,65.8,Fail,0
Smit Gupta 2489,0.6,88.5,Fail,0
Bhavesh Sharma 2490,2.6,64.0,Fail,0
Rohan Chauhan 2491,2.7,79.0,Fail,0
Miraj Yadav 2492,0.8,74.5,Fail,0
Yash Verma 2493,2.8,87.2,Fail,0
Varun Patel 2494,5.1,78.1,Pass,1
Sumit Gupta 2495,2.2,55.4,Fail,0
Bhavesh Shah 2496,7.1,98.4,Pass,1
Raj Malik 2497,7.7,47.3,Fail,0
Ravi Singh 2498,3.5,64.5,Fail,0
Sumit Rana 2499,2.1,98.0,Fail,0
Hash Agarwal 2500,5.2,83.5,Pass,1
Tushar Singh 2501,8.6,60.3,Fail,0
Bhavesh Shah 2502,3.0,73.7,Fail,0
Amit Agarwal 2503,5.3,43.7,Fail,0
Palav Rana 2504,1.6,65.0,Fail,0
Nakul Singh 2505,6.8,40.5,Fail,0
Raj Gupta 2506,7.9,81.1,Pass,1
Dev Desai 2507,3.6,83.9,Fail,0
Harsh Yadav 2508,3.9,75.8,Fail,0
Utsav Singh 2509,2.6,45.1,Fail,0
Hash Chauhan 2510,7.2,58.9,Fail,0
Amit Chauhan 2511,8.5,99.0,Pass,1
Palav Sharma 2512,3.0,79.2,Fail,0
Arjun Shah 2513,2.0,87.7,Fail,0
Arjun Agarwal 2514,9.6,89.6,Pass,1
Hash Sharma 2515,6.8,74.6,Pass,1
Harsh Kapoor 2516,7.9,96.3,Pass,1
Bhavesh Malik 2517,1.1,64.5,Fail,0
Manav Yadav 2518,3.9,30.5,Fail,0
Ravi Joshi 2519,8.8,36.0,Fail,0
Amit Mehta 2520,8.1,94.4,Pass,1
Bhavesh Mehta 2521,2.0,64.8,Fail,0
Ravi Patel 2522,5.1,34.4,Fail,0
Tushar Singh 2523,0.1,58.2,Fail,0
Smit Desai 2524,8.1,95.2,Pass,1
Manav Gupta 2525,6.6,83.6,Pass,1
Rohan Mehta 2526,2.2,89.8,Fail,0
Smit Agarwal 2527,9.7,48.9,Fail,0
Vivek Patel 2528,4.2,92.3,Fail,0
Amit Verma 2529,3.8,78.2,Fail,0
Vivek Desai 2530,9.6,81.6,Pass,1
Yash Kapoor 2531,8.2,97.8,Pass,1
Sahil Singh 2532,8.3,89.8,Pass,1
Varun Rana 2533,2.7,57.4,Fail,0
Tushar Singh 2534,8.7,82.4,Pass,1
Utsav Shah 2535,4.3,41.0,Fail,0
Sahil Singh 2536,6.7,44.2,Fail,0
Dev Sharma 2537,4.6,78.8,Fail,0
Utsav Mehta 2538,7.4,67.6,Fail,0
Ansh Sharma 2539,3.6,31.1,Fail,0
Utsav Yadav 2540,4.3,70.5,Fail,0
Rahul Joshi 2541,7.6,57.5,Fail,0
Palav Rana 2542,5.8,48.3,Fail,0
Chirag Shah 2543,4.4,88.2,Fail,0
Smit Joshi 2544,6.0,77.3,Pass,1
Neel Patel 2545,3.9,50.9,Fail,0
Yash Gupta 2546,0.4,77.5,Fail,0
Ravi Agarwal 2547,3.5,75.2,Fail,0
Rahul Sharma 2548,9.6,37.3,Fail,0
Miraj Verma 2549,9.8,33.5,Fail,0
Om Desai 2550,2.9,91.5,Fail,0
Palav Sharma 2551,3.3,85.0,Fail,0
Varun Verma 2552,1.2,94.6,Fail,0
Vivek Sharma 2553,0.0,38.1,Fail,0
Smit Gupta 2554,1.6,91.2,Fail,0
Rohan Rana 2555,2.5,43.3,Fail,0
Rohan Kapoor 2556,4.8,44.6,Fail,0
Neel Joshi 2557,8.4,42.0,Fail,0
Arjun Shah 2558,5.6,59.8,Fail,0
Bhavesh Shah 2559,8.0,39.5,Fail,0
Bhavesh Gupta 2560,4.7,95.9,Fail,0
Om Sharma 2561,7.0,70.2,Pass,1
Ravi Verma 2562,9.6,75.3,Pass,1
Ravi Sharma 2563,9.7,36.3,Fail,0
Rohan Patel 2564,9.7,90.7,Pass,1
Tushar Chauhan 2565,3.8,65.2,Fail,0
Utsav Kapoor 2566,1.0,68.2,Fail,0
Utsav Sharma 2567,8.5,41.6,Fail,0
Bhavesh Shah 2568,7.8,74.8,Pass,1
Harsh Rana 2569,9.6,54.6,Fail,0
Ansh Rana 2570,6.8,37.5,Fail,0
Utsav Agarwal 2571,6.7,58.8,Fail,0
Yash Kapoor 2572,3.1,47.1,Fail,0
Chirag Shah 2573,5.0,62.4,Fail,0
Manav Shah 2574,7.6,77.5,Pass,1
Rahul Agarwal 2575,2.5,84.5,Fail,0
Harsh Gupta 2576,5.4,41.7,Fail,0
Jay Shah 2577,5.3,95.6,Pass,1
Vivek Mehta 2578,4.7,84.6,Fail,0
Ansh Desai 2579,1.8,67.1,Fail,0
Kunal Patel 2580,4.7,38.3,Fail,0
Yash Rana 2581,6.7,53.3,Fail,0
Amit Gupta 2582,6.2,83.8,Pass,1
Dharaj Desai 2583,4.8,75.3,Fail,0
Palav Shah 2584,9.3,88.3,Pass,1
Sahil Agarwal 2585,5.3,93.4,Pass,1
Chirag Sharma 2586,9.6,47.4,Fail,0
Ansh Joshi 2587,1.4,74.6,Fail,0
Bhavesh Shah 2588,1.3,85.9,Fail,0
Varun Gupta 2589,1.8,89.3,Fail,0
Jay Joshi 2590,6.1,37.3,Fail,0
Dharaj Shah 2591,3.7,34.0,Fail,0
Yash Chauhan 2592,9.2,31.4,Fail,0
Palav Shah 2593,7.8,88.3,Pass,1
Sahil Malik 2594,1.9,69.3,Fail,0
Neel Sharma 2595,6.8,68.8,Fail,0
Ansh Malik 2596,3.7,59.0,Fail,0
Harsh Agarwal 2597,7.5,75.3,Pass,1
Ansh Kapoor 2598,0.3,45.6,Fail,0
Rahul Rana 2599,6.4,94.6,Pass,1
Manav Gupta 2600,3.3,69.0,Fail,0
Amit Shah 2601,7.8,78.2,Pass,1
Kunal Patel 2602,9.9,39.1,Fail,0
Sumit Rana 2603,7.1,62.8,Fail,0
Om Verma 2604,4.9,44.2,Fail,0
Smit Mehta 2605,4.2,78.1,Fail,0
Rahul Yadav 2606,4.9,42.3,Fail,0
Neel Verma 2607,5.1,43.2,Fail,0
Dev Desai 2608,4.6,59.8,Fail,0
Sahil Shah 2609,2.8,41.2,Fail,0
Manav Agarwal 2610,8.1,32.1,Fail,0
Jay Yadav 2611,6.3,99.8,Pass,1
Arjun Mehta 2612,1.1,66.8,Fail,0
Nakul Agarwal 2613,7.5,58.2,Fail,0
Jay Yadav 2614,1.1,32.9,Fail,0
Ravi Kapoor 2615,5.2,80.4,Pass,1
Miraj Yadav 2616,0.7,35.8,Fail,0
Manav Joshi 2617,4.0,63.3,Fail,0
Dev Gupta 2618,5.7,99.5,Pass,1
Rahul Sharma 2619,0.2,62.9,Fail,0
Sahil Gupta 2620,8.1,92.0,Pass,1
Ansh Yadav 2621,8.6,30.0,Fail,0
Chirag Kapoor 2622,4.1,74.4,Fail,0
Arjun Joshi 2623,0.2,51.9,Fail,0
Neel Kapoor 2624,9.9,43.5,Fail,0
Bhavesh Rana 2625,6.4,62.2,Fail,0
Kunal Sharma 2626,8.8,33.6,Fail,0
Sahil Agarwal 2627,5.5,79.8,Pass,1
Harsh Shah 2628,2.3,57.9,Fail,0
Yash Singh 2629,4.4,88.5,Fail,0
Nakul Sharma 2630,7.6,83.0,Pass,1
Neel Rana 2631,2.0,60.8,Fail,0
Harsh Malik 2632,7.2,69.8,Fail,0
Parth Mehta 2633,6.1,34.9,Fail,0
Arjun Yadav 2634,1.9,62.6,Fail,0
Tushar Shah 2635,2.9,81.2,Fail,0
Yash Chauhan 2636,4.2,94.1,Fail,0
Kunal Malik 2637,5.8,83.6,Pass,1
Manav Rana 2638,0.6,53.5,Fail,0
Rohan Patel 2639,6.8,40.1,Fail,0
Chirag Yadav 2640,1.0,85.1,Fail,0
Kunal Agarwal 2641,1.6,57.2,Fail,0
Ravi Sharma 2642,3.9,44.1,Fail,0
Miraj Verma 2643,4.1,62.4,Fail,0
Hash Singh 2644,0.5,84.4,Fail,0
Manav Mehta 2645,4.6,95.2,Fail,0
Palav Joshi 2646,9.0,90.3,Pass,1
Palav Patel 2647,0.4,60.1,Fail,0
Rahul Verma 2648,0.5,51.9,Fail,0
Manav Rana 2649,8.9,56.1,Fail,0
Parth Agarwal 2650,4.0,51.0,Fail,0
Raj Malik 2651,5.7,69.2,Fail,0
Raj Yadav 2652,0.4,40.3,Fail,0
Tushar Yadav 2653,4.7,35.4,Fail,0
Parth Gupta 2654,3.1,34.0,Fail,0
Dharaj Sharma 2655,9.4,82.2,Pass,1
Dharaj Patel 2656,5.6,89.6,Pass,1
Raj Shah 2657,9.7,41.7,Fail,0
Dev Joshi 2658,6.3,96.9,Pass,1
Dev Agarwal 2659,6.4,90.8,Pass,1
Kunal Malik 2660,5.5,93.8,Pass,1
Harsh Mehta 2661,9.6,98.9,Pass,1
Yash Mehta 2662,5.7,98.3,Pass,1
Smit Desai 2663,5.3,53.2,Fail,0
Rohan Desai 2664,8.1,89.2,Pass,1
Amit Sharma 2665,2.9,51.6,Fail,0
Chirag Kapoor 2666,8.0,41.7,Fail,0
Ansh Kapoor 2667,4.2,80.6,Fail,0
Neel Chauhan 2668,0.8,97.7,Fail,0
Neel Gupta 2669,9.6,87.9,Pass,1
Kunal Rana 2670,2.1,63.7,Fail,0
Dharaj Joshi 2671,6.3,72.5,Pass,1
Dharaj Yadav 2672,6.8,78.6,Pass,1
Manav Verma 2673,8.3,35.3,Fail,0
Harsh Patel 2674,1.7,35.1,Fail,0
Miraj Shah 2675,2.3,67.8,Fail,0
Sumit Kapoor 2676,4.9,43.1,Fail,0
Sumit Shah 2677,9.7,52.7,Fail,0
Bhavesh Mehta 2678,5.2,69.9,Fail,0
Neel Singh 2679,5.4,56.4,Fail,0
Neel Kapoor 2680,5.9,44.0,Fail,0
Varun Kapoor 2681,5.4,99.1,Pass,1
Yash Malik 2682,5.1,37.3,Fail,0
Sumit Singh 2683,6.1,73.4,Pass,1
Sahil Sharma 2684,5.8,99.2,Pass,1
Tushar Sharma 2685,7.4,59.9,Fail,0
Manav Verma 2686,3.7,39.8,Fail,0
Harsh Kapoor 2687,2.0,51.3,Fail,0
Miraj Sharma 2688,8.2,64.8,Fail,0
Manav Yadav 2689,5.8,93.7,Pass,1
Ravi Patel 2690,7.5,64.0,Fail,0
Nakul Agarwal 2691,6.9,77.7,Pass,1
Dev Gupta 2692,4.7,49.4,Fail,0
Hash Shah 2693,1.5,42.9,Fail,0
Jay Patel 2694,5.5,95.8,Pass,1
Rohan Yadav 2695,8.1,69.5,Fail,0
Palav Shah 2696,2.0,53.5,Fail,0
Miraj Shah 2697,9.1,81.3,Pass,1
Manav Rana 2698,3.5,54.1,Fail,0
Amit Malik 2699,4.3,63.0,Fail,0
Neel Shah 2700,3.5,62.3,Fail,0
Bhavesh Shah 2701,3.8,62.5,Fail,0
Utsav Sharma 2702,2.4,61.0,Fail,0
Amit Rana 2703,7.2,58.5,Fail,0
Sumit Agarwal 2704,10.0,80.3,Pass,1
Smit Yadav 2705,2.8,33.4,Fail,0
Nakul Singh 2706,0.1,63.8,Fail,0
Jay Singh 2707,4.2,81.3,Fail,0
Chirag Agarwal 2708,8.9,89.2,Pass,1
Amit Mehta 2709,4.9,58.2,Fail,0
Parth Gupta 2710,0.9,80.8,Fail,0
Sahil Shah 2711,5.1,98.1,Pass,1
Bhavesh Patel 2712,2.6,53.9,Fail,0
Miraj Verma 2713,6.1,95.2,Pass,1
Om Verma 2714,7.6,43.3,Fail,0
Manav Shah 2715,2.2,55.2,Fail,0
Neel Malik 2716,3.8,34.5,Fail,0
Harsh Yadav 2717,2.7,98.7,Fail,0
Hash Joshi 2718,6.7,93.1,Pass,1
Bhavesh Shah 2719,5.5,98.4,Pass,1
Dev Joshi 2720,4.4,81.5,Fail,0
Palav Malik 2721,6.3,89.7,Pass,1
Rohan Chauhan 2722,8.1,48.7,Fail,0
Arjun Verma 2723,4.0,99.1,Fail,0
Manav Sharma 2724,1.7,59.3,Fail,0
Kunal Shah 2725,0.9,35.3,Fail,0
Tushar Shah 2726,6.3,82.1,Pass,1
Arjun Malik 2727,0.7,39.9,Fail,0
Kunal Desai 2728,6.2,77.2,Pass,1
Miraj Chauhan 2729,4.7,51.6,Fail,0
Yash Kapoor 2730,2.7,44.3,Fail,0
Manav Patel 2731,1.8,59.5,Fail,0
Chirag Gupta 2732,8.3,66.3,Fail,0
Palav Singh 2733,8.0,39.8,Fail,0
Om Shah 2734,0.4,96.9,Fail,0
Bhavesh Shah 2735,8.2,58.2,Fail,0
Om Malik 2736,3.3,88.3,Fail,0
Bhavesh Chauhan 2737,3.5,36.3,Fail,0
Amit Verma 2738,7.7,85.9,Pass,1
Rohan Singh 2739,0.6,46.9,Fail,0
Ansh Agarwal 2740,2.7,58.8,Fail,0
Vivek Shah 2741,4.0,70.7,Fail,0
Jay Yadav 2742,5.1,38.6,Fail,0
Rohan Malik 2743,1.0,67.2,Fail,0
Dharaj Agarwal 2744,1.8,99.8,Fail,0
Sumit Sharma 2745,5.5,78.9,Pass,1
Rohan Agarwal 2746,4.3,37.0,Fail,0
Nakul Shah 2747,6.6,63.0,Fail,0
Harsh Yadav 2748,1.6,82.4,Fail,0
Varun Singh 2749,4.4,34.8,Fail,0
Smit Yadav 2750,7.3,33.3,Fail,0
Harsh Mehta 2751,4.1,67.3,Fail,0
Rahul Yadav 2752,6.4,59.2,Fail,0
Utsav Agarwal 2753,3.7,37.2,Fail,0
Varun Joshi 2754,8.9,77.5,Pass,1
Neel Gupta 2755,8.3,98.1,Pass,1
Rahul Singh 2756,0.4,77.1,Fail,0
Dharaj Sharma 2757,5.7,96.3,Pass,1
Tushar Malik 2758,7.0,62.7,Fail,0
Raj Singh 2759,6.2,83.2,Pass,1
Nakul Rana 2760,9.0,83.6,Pass,1
Palav Malik 2761,1.4,40.4,Fail,0
Dev Patel 2762,8.8,54.5,Fail,0
Hash Chauhan 2763,5.7,95.3,Pass,1
Chirag Kapoor 2764,1.1,79.4,Fail,0
Smit Chauhan 2765,2.3,37.9,Fail,0
Rahul Malik 2766,1.5,68.7,Fail,0
Sumit Mehta 2767,1.4,79.8,Fail,0
Kunal Mehta 2768,5.1,33.2,Fail,0
Amit Sharma 2769,5.9,48.9,Fail,0
Miraj Patel 2770,1.7,83.0,Fail,0
Rohan Desai 2771,2.4,84.0,Fail,0
Ravi Chauhan 2772,1.4,36.4,Fail,0
Dharaj Gupta 2773,3.5,47.8,Fail,0
Dev Rana 2774,3.3,39.0,Fail,0
Utsav Chauhan 2775,7.4,89.1,Pass,1
Palav Joshi 2776,9.7,63.4,Fail,0
Rahul Joshi 2777,3.7,58.2,Fail,0
Varun Malik 2778,6.5,54.7,Fail,0
Rahul Chauhan 2779,0.5,36.5,Fail,0
Rahul Rana 2780,8.8,72.4,Pass,1
Parth Sharma 2781,0.4,58.2,Fail,0
Amit Agarwal 2782,7.0,41.2,Fail,0
Hash Rana 2783,3.6,40.7,Fail,0
Amit Malik 2784,2.2,37.7,Fail,0
Smit Rana 2785,0.6,37.1,Fail,0
Smit Singh 2786,7.9,79.4,Pass,1
Dev Sharma 2787,9.0,91.2,Pass,1
Harsh Verma 2788,9.2,87.5,Pass,1
Manav Verma 2789,5.1,67.4,Fail,0
Dev Yadav 2790,9.9,86.2,Pass,1
Ravi Agarwal 2791,5.7,98.5,Pass,1
Dharaj Patel 2792,1.3,92.6,Fail,0
Bhavesh Shah 2793,8.9,93.0,Pass,1
Utsav Kapoor 2794,9.0,92.6,Pass,1
Hash Patel 2795,2.6,34.8,Fail,0
Manav Gupta 2796,1.1,44.1,Fail,0
Sumit Rana 2797,5.4,77.9,Pass,1
Om Chauhan 2798,2.3,83.8,Fail,0
Kunal Kapoor 2799,8.5,86.3,Pass,1
Arjun Singh 2800,3.6,71.0,Fail,0
Tushar Mehta 2801,9.3,71.1,Pass,1
Harsh Malik 2802,9.6,94.3,Pass,1
Rahul Malik 2803,1.8,88.4,Fail,0
Varun Joshi 2804,2.8,52.2,Fail,0
Ansh Singh 2805,5.9,33.6,Fail,0
Parth Mehta 2806,8.9,59.6,Fail,0
Amit Kapoor 2807,3.5,93.2,Fail,0
Bhavesh Patel 2808,9.4,96.8,Pass,1
Ansh Yadav 2809,5.0,48.8,Fail,0
Amit Sharma 2810,2.6,87.2,Fail,0
Neel Rana 2811,1.4,75.2,Fail,0
Sahil Mehta 2812,3.5,90.5,Fail,0
Neel Malik 2813,2.4,53.4,Fail,0
Harsh Desai 2814,7.5,40.7,Fail,0
Vivek Rana 2815,8.4,62.2,Fail,0
Tushar Kapoor 2816,9.6,94.5,Pass,1
Yash Chauhan 2817,0.9,35.6,Fail,0
Amit Shah 2818,7.9,44.8,Fail,0
Chirag Singh 2819,2.2,39.7,Fail,0
Om Joshi 2820,0.9,86.7,Fail,0
Manav Agarwal 2821,6.9,80.2,Pass,1
Chirag Kapoor 2822,4.2,78.0,Fail,0
Sahil Joshi 2823,5.6,39.9,Fail,0
Varun Rana 2824,7.7,98.6,Pass,1
Ravi Agarwal 2825,5.8,91.5,Pass,1
Rahul Sharma 2826,1.2,84.4,Fail,0
Hash Sharma 2827,9.5,82.9,Pass,1
Chirag Verma 2828,1.1,31.9,Fail,0
Vivek Sharma 2829,7.7,30.2,Fail,0
Amit Rana 2830,1.2,44.2,Fail,0
Ravi Sharma 2831,1.0,97.1,Fail,0
Smit Desai 2832,5.3,83.5,Pass,1
Neel Agarwal 2833,0.7,69.5,Fail,0
Smit Chauhan 2834,2.0,99.1,Fail,0
Hash Rana 2835,3.7,53.1,Fail,0
Sumit Yadav 2836,2.8,34.6,Fail,0
Harsh Gupta 2837,6.6,64.7,Fail,0
Arjun Joshi 2838,0.4,97.3,Fail,0
